year	admin2_km2	admin4_km2
20	6561676	2986093
30	6561676	2986093
40	6561676	2975632
50	7941392	3227963
60	7943332	3227963
70	7936769	3256314
80	8013672	3333217
90	8013672	3468819
100	8117813	3468819
110	8394019	3735491
120	8394198	3613506
130	8394198	3613506
140	8394198	3613506
150	8394198	3613506
160	8394198	3613506
170	8394198	3664107
180	8394198	3664107
190	8394198	3664107
200	9130805	3683601
210	9122605	3661323
220	9122605	3702058
230	7128436	3702058
240	7128436	3702058
250	7128436	3702058
260	7128436	3702058
270	7129100	3702058
280	7007114	3590630
290	7007114	3590630
300	7020758	2907882
310	7018075	2870306
320	7018075	2827336
330	7018075	2827336
340	7021759	2827336
350	7021759	2827336
360	7021759	2781114
370	7021759	2781114
380	7105985	2781114
390	7031249	2704211
400	7468388	2709420
410	7312261	2333401
420	7284431	2333401
430	7277833	2272555
440	6969230	2174334
450	6989083	2174334
460	7135374	2174334
470	7144030	2174334
480	6377919	1402954
490	6541999	1291615
500	7127023	1297951
510	6954202	1297951
520	6953783	1297951
530	6959330	1297951
540	7013926	1310177
550	7013926	1384753
560	6621161	1384753
570	6378071	1415360
580	6351883	1481630
590	6376267	1481630
600	6391377	1729073
610	3902035	1732243
620	3902035	1732243
630	8845375	1653422
640	12034385	1320363
650	11847819	700508
660	11918408	700508
670	15700430	703632
680	15633566	703632
690	15577762	678004
700	17053331	447869
710	17031709	486247
720	16875848	626526
730	16859352	626526
740	16853563	626526
750	17014325	626526
760	13620162	626526
770	13621780	623403
780	13644760	561976
790	13636693	561976
800	15229186	579129
810	15547880	668568
820	15569354	667783
830	15550626	657603
840	15557787	658750
850	14945875	658750
860	14828610	689588
870	14922488	580265
880	15345571	581722
890	15336646	614271
900	15410799	713977
910	15495087	752548
920	15490866	906109
930	15732697	902257
940	15710239	932851
950	15717757	942646
960	15785214	904771
970	15595001	1044700
980	15881554	1091341
990	15819096	1066143
1000	16278881	1066147
1010	15974730	1109314
1020	15985143	1097408
1030	16232545	1097995
1040	17072323	1057124
1050	17245282	1079278
1060	16805825	1060189
1070	16907731	1062381
1080	16990939	1062561
1090	17069122	1008487
1100	17618605	1050872
1110	17326522	843627
1120	17326522	854570
1130	20234280	834029
1140	21816070	813346
1150	21328807	830873
1160	21375818	791402
1170	21407621	723059
1180	20731327	767977
1190	20931318	703874
1200	20416342	722035
1210	20846033	705772
1220	20896297	754079
1230	19998363	757475
1240	38383068	813820
1250	38473728	828189
1260	35250846	870741
1270	35365567	808653
1280	12545786	838651
1290	12663907	854618
1300	13243650	850927
1310	13257385	875803
1320	13401777	898592
1330	13589282	869654
1340	13977859	887855
1350	14389141	938168
1360	10481984	974085
1370	10513330	971758
1380	10417238	975765
1390	8915037	970867
1400	8371287	1167369
1410	8069495	1167001
1420	8083982	1292920
1430	10234809	1300032
1440	12953128	3333153
1450	13261300	3330563
1460	13980680	3340610
1470	13931629	3943926
1480	15224552	3698252
1490	15596800	3717252
1500	19545067	3816001
1510	19614652	3845010
1520	22873840	4416489
1530	23430933	4997001
1540	28026587	5812079
1550	40730885	6032041
1560	41386853	6078184
1570	42356458	7779709
1580	43800491	7696342
1590	44640113	8142478
1600	43268290	8564628
1610	45102932	8623255
1620	45009707	8418539
1630	44917637	8240118
1640	46560659	8295990
1650	47979800	8909088
1660	47453559	8653664
1670	55187614	8661255
1680	55100565	8746894
1690	71399107	9284121
1700	81332618	9404947
1710	81435425	10926274
1720	82102516	10970886
1730	82356689	11120292
1740	85578216	11113844
1750	87656540	11160484
1760	88033369	10385944
1770	87862650	13675586
1780	91311150	13724758
1790	98951947	16522312
1800	97977767	16582670
1810	100816322	19898558
1820	104462595	20568266
1830	106787944	20518073
1840	107673053	21359031
1850	106498703	21884166
1860	107015387	24062087
1870	108567254	28639466
1880	110491593	35724720
1890	119244627	33613324
1900	125243840	40544583
1910	127363736	46442333
1920	130665699	43850379
1930	133397311	40072042
1940	138085353	43033805
1950	139276310	41885899
1960	142300627	44366621
1970	146606621	45154487
1980	147631919	45416150
1990	149617648	45514923
2000	152045609	43696390
2010	152069295	41914286
2020	147699921	42440208
2030	147710154	42530486
